# STAR             = Aldebaran
# RA(ICRS, deg)    = 68.980163
# Dec(ICRS, deg)   = 16.509302
# pmRA  (mas/yr)   = 63.4500
# pmDec (mas/yr)   = -188.940
# parallax (mas)   = 48.9400
# Vrad  (km/s)     = 54260.0
# Vtemplate (km/s) = 29617.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2016-09-27T02-29-47_ext.iod        2457658.6042586002  2457658.6074533626      27476.89      54501.56     61.24      1.68   43188.2
s1_2016-09-27T02-30-31_ext.iod        2457658.6047638999  2457658.6079587075      27475.60      54499.23     63.62      1.85   51669.5
s1_2016-09-27T02-31-14_ext.iod        2457658.6052656001  2457658.6084604529      27475.00      54497.60     57.82      1.59   52779.2
s1_2016-09-28T00-31-39_ext.iod        2457659.5222216002  2457659.5254979050      27571.38      54508.90     62.33      1.80   43955.0
s1_2016-09-28T00-32-23_ext.iod        2457659.5227255998  2457659.5260019498      27574.66      54511.65     61.49      1.90   49487.7
s1_2016-09-28T00-33-06_ext.iod        2457659.5232279999  2457659.5265043951      27571.82      54508.28     64.00      1.96   50101.7
s1_2016-09-28T04-00-12_ext.iod        2457659.6670447001  2457659.6703339559      27849.77      54508.25     58.54      1.50   52100.8
s1_2016-09-28T04-00-56_ext.iod        2457659.6675485000  2457659.6708378005      27852.16      54509.35     56.27      1.48   61799.2
s1_2016-09-28T04-01-39_ext.iod        2457659.6680522002  2457659.6713415459      27853.62      54509.51     54.88      1.42   60544.7
s1_2016-09-29T00-34-59_ext.iod        2457660.5245317998  2457660.5278965426      27787.21      54498.88     58.61      1.64   42912.8
s1_2016-09-29T00-35-43_ext.iod        2457660.5250355001  2457660.5284002880      27785.04      54496.14     61.51      1.73   46771.9
s1_2016-09-29T00-36-26_ext.iod        2457660.5255379998  2457660.5289028324      27788.09      54498.62     61.84      1.73   42676.9
s1_2016-09-29T03-46-25_ext.iod        2457660.6574744000  2457660.6608509351      28038.99      54493.39     58.86      1.38   45022.1
s1_2016-09-29T03-47-09_ext.iod        2457660.6579781999  2457660.6613547793      28039.78      54492.89     56.85      1.44   58220.8
s1_2016-09-29T03-47-52_ext.iod        2457660.6584804999  2457660.6618571235      28041.13      54492.97     59.95      1.52   60082.3
s1_2016-09-29T06-29-06_ext.iod        2457660.7704455000  2457660.7738319449      28330.09      54484.97     52.72      1.30   68262.3
s1_2016-09-29T06-29-50_ext.iod        2457660.7709535998  2457660.7743400889      28330.71      54484.29     55.59      1.34   78662.0
s1_2016-09-29T06-30-34_ext.iod        2457660.7714590002  2457660.7748455335      28335.39      54487.68     53.05      1.34   78022.5
s1_2016-09-30T00-34-56_ext.iod        2457661.5244990001  2457661.5279512191      27975.93      54455.60     58.65      1.52   54555.8
s1_2016-09-30T00-35-40_ext.iod        2457661.5250072000  2457661.5284594642      27975.96      54455.03     59.03      1.62   56642.3
s1_2016-09-30T00-36-24_ext.iod        2457661.5255125002  2457661.5289648087      27978.07      54456.54     58.29      1.57   51539.0
s1_2016-09-30T04-25-32_ext.iod        2457661.6846338999  2457661.6881001815      28298.51      54444.59     52.68      1.33   56633.1
s1_2016-09-30T04-26-15_ext.iod        2457661.6851388002  2457661.6886051255      28296.77      54441.50     53.18      1.25   72945.6
s1_2016-09-30T04-26-59_ext.iod        2457661.6856442001  2457661.6891105697      28300.66      54444.04     52.86      1.24   71201.6
s1_2016-09-30T06-23-51_ext.iod        2457661.7667967002  2457661.7702701152      28510.73      54437.00     53.69      1.35   68519.9
s1_2016-09-30T06-24-35_ext.iod        2457661.7673038999  2457661.7707773587      28512.44      54437.41     54.03      1.39   81177.6
s1_2016-09-30T06-25-19_ext.iod        2457661.7678163000  2457661.7712898031      28514.12      54437.78     54.00      1.34   80882.2
s1_2016-10-01T06-08-37_ext.iod        2457662.7562259999  2457662.7597850114      28725.94      54433.25     54.44      1.32   56894.8
s1_2016-10-01T06-09-21_ext.iod        2457662.7567302999  2457662.7602893542      28728.01      54434.01     56.88      1.30   62223.8
s1_2016-10-01T06-10-05_ext.iod        2457662.7572363000  2457662.7607953981      28727.80      54432.48     52.12      1.23   65755.7
s1_2016-10-02T00-36-04_ext.iod        2457663.5252870000  2457663.5289118793      28489.79      54478.93     62.06      1.63   39646.0
s1_2016-10-02T00-36-48_ext.iod        2457663.5257930001  2457663.5294179232      28493.13      54481.62     61.21      1.56   43337.3
s1_2016-10-02T00-37-31_ext.iod        2457663.5262954002  2457663.5299203666      28495.20      54483.04     61.18      1.47   43128.0
s1_2016-10-02T02-08-59_ext.iod        2457663.5898132999  2457663.5934437606      28605.72      54485.00     56.55      1.44   47241.9
s1_2016-10-02T02-09-43_ext.iod        2457663.5903194002  2457663.5939499042      28605.22      54483.44     59.54      1.52   55174.0
s1_2016-10-02T02-10-26_ext.iod        2457663.5908212001  2457663.5944517474      28607.09      54484.26     56.80      1.45   55958.9
s1_2016-10-02T06-05-44_ext.iod        2457663.7542225998  2457663.7578671374      29031.63      54489.58     57.51      1.29   61579.1
s1_2016-10-02T06-06-28_ext.iod        2457663.7547313999  2457663.7583759809      29031.24      54487.85     57.37      1.31   63152.1
s1_2016-10-02T06-07-12_ext.iod        2457663.7552390001  2457663.7588836243      29035.11      54490.40     56.47      1.36   63057.3
s1_2016-10-03T00-35-08_ext.iod        2457664.5246306998  2457664.5283405785      28802.41      54535.13     57.70      1.56   48144.0
s1_2016-10-03T00-35-51_ext.iod        2457664.5251389001  2457664.5288488227      28802.48      54534.53     58.77      1.59   52392.4
s1_2016-10-03T00-36-35_ext.iod        2457664.5256432998  2457664.5293532657      28805.46      54536.85     59.28      1.50   54608.0
